0.2342,0.6817,-0.6284,1.88E+05,-2.10E+00
1.9316,-1.6952,1.5380,1.87E+05,-2.09E+00
0.6710,-1.9557,-1.6410,1.87E+05,-2.09E+00
0.5876,-1.1206,1.9953,1.84E+05,-2.08E+00
0.0024,-1.1746,-1.6434,1.79E+05,-1.99E+00
0.5593,0.4763,1.6670,1.59E+05,-1.96E+00
1.0040,0.6353,0.1838,1.53E+05,-1.92E+00
1.7712,0.4463,-1.4108,1.48E+05,-1.89E+00
1.3664,0.6353,0.2053,1.42E+05,-1.86E+00
1.2205,0.0409,0.2688,1.42E+05,-1.86E+00
0.6012,-1.9374,-1.9947,1.42E+05,-1.86E+00
1.3506,-0.1317,-1.7472,1.37E+05,-1.83E+00
0.2416,-0.2345,1.3544,1.31E+05,-1.79E+00
0.5427,0.0419,1.1413,1.25E+05,-1.75E+00
1.0201,0.0689,-1.9071,1.22E+05,-1.69E+00
1.7329,0.3368,1.5732,1.18E+05,-1.68E+00
1.2250,0.5644,0.0606,1.14E+05,-1.66E+00
1.5116,-1.9749,-0.5843,1.10E+05,-1.61E+00
0.5870,0.9094,0.7984,1.09E+05,-1.61E+00
1.6106,0.4519,-1.4388,1.09E+05,-1.61E+00
0.9292,-1.7521,-0.4895,1.09E+05,-1.61E+00
0.9454,0.4715,0.8310,1.08E+05,-1.60E+00
0.5744,-1.4018,1.4350,1.07E+05,-1.59E+00
1.9695,0.8444,0.9452,1.02E+05,-1.56E+00
0.4845,1.7780,-0.3489,1.02E+05,-1.54E+00
2.0000,-1.0292,-0.1096,9.84E+04,-1.52E+00
0.5806,0.2310,0.4369,9.62E+04,-1.50E+00
0.7134,0.0409,1.3452,8.64E+04,-1.40E+00
1.9909,-1.0495,0.9616,8.28E+04,-1.37E+00
0.6065,1.7626,-0.7045,8.17E+04,-1.37E+00
1.9695,-1.5572,0.9452,7.57E+04,-1.30E+00
0.7103,0.6267,-0.4506,7.12E+04,-1.25E+00
0.6074,-1.9114,0.8914,6.89E+04,-1.23E+00
1.0044,0.6353,0.1838,6.81E+04,-1.20E+00
1.3661,0.5493,-0.6396,6.56E+04,-1.18E+00
1.5104,-0.2314,1.5484,6.49E+04,-1.13E+00
1.5190,-0.1326,0.0832,6.41E+04,-1.13E+00
1.5338,0.2877,0.7843,6.23E+04,-1.09E+00
0.4752,-1.2253,1.6903,5.75E+04,-1.05E+00
0.2242,0.2770,1.5597,5.55E+04,-1.01E+00
1.7843,0.4493,-1.4401,4.95E+04,-9.19E-01
1.2893,-0.9634,-0.1764,4.93E+04,-8.72E-01
0.6985,0.6956,-0.4620,4.87E+04,-7.98E-01
0.7452,-1.0525,1.4078,4.63E+04,-7.47E-01
1.8543,-1.1358,1.5266,4.23E+04,-6.39E-01
1.9314,-1.3258,1.0863,3.71E+04,-6.29E-01
1.6919,0.7004,-0.4506,3.20E+04,-5.23E-01
1.1750,-1.3191,1.2316,3.10E+04,-5.22E-01
1.2037,0.0689,1.6400,3.03E+04,-4.98E-01
0.6710,-1.9557,-1.6410,2.99E+04,-4.18E-01
1.2893,-0.9275,-0.6781,2.92E+04,-4.01E-01
1.3192,-0.9153,-0.6532,2.51E+04,-3.21E-01
1.5297,0.2705,0.8151,2.42E+04,-3.02E-01
1.0182,0.4434,1.5307,1.82E+04,-1.01E-01
0.6071,0.1835,1.7539,1.46E+04,6.32E-02
1.5297,-0.3104,1.3336,1.32E+04,1.81E-01
0.5869,0.9098,-1.9146,1.31E+04,2.81E-01
2.0000,-0.9593,0.9560,6.56E+03,5.69E-01
1.5255,-1.1358,1.5266,4.82E+03,6.33E-01
1.5631,-1.3016,0.1278,4.55E+03,7.12E-01
1.9316,-1.6952,0.0108,3.83E+03,8.05E-01
1.9316,-1.6952,1.5380,1.67E+03,1.75E+00
0.6804,0.0687,1.3396,2.80E+01,2.29E+00
1.4404,-0.1490,-1.9568,2.80E+01,2.29E+00
1.5297,1.8276,1.3336,2.20E+01,2.95E+00
0.4530,-1.2635,-1.6760,2.20E+01,2.95E+00
